code,name
gle_Latn,Irish
glg_Latn,Galician
gom_Deva,Goan Konkani
gug_Latn,Paraguayan Guarani
guj_Gujr,Gujarati
hat_Latn,Haitian Creole
hau_Latn,Hausa
heb_Hebr,Hebrew
hin_Deva,Hindi
hne_Deva,Chhattisgarhi
hrv_Latn,Croatian
hun_Latn,Hungarian
hye_Armn,Armenian
ibo_Latn,Igbo
ilo_Latn,Ilocano
ind_Latn,Indonesian
isl_Latn,Icelandic
ita_Latn,Italian
jav_Latn,Javanese
jpn_Jpan,Japanese
kaa_Latn,Karakalpak
kab_Latn,Kabyle
kac_Latn,Jingpho
kam_Latn,Kamba
kan_Knda,Kannada
kas_Arab,Kashmiri (Arabic)
kas_Deva,Kashmiri (Devanagari)
kat_Geor,Georgian
kaz_Cyrl,Kazakh
kbp_Latn,Kabiya
kea_Latn,Kabuverdianu
khk_Cyrl,Halh Mongolian (Cyrillic)
khk_Mong,Halh Mongolian (Traditional)
khm_Khmr,Khmer
kik_Latn,Kikuyu
kin_Latn,Kinyarwanda
kir_Cyrl,Kyrgyz
kmb_Latn,Kimbundu
kmr_Latn,Northern Kurdish
knc_Arab,Central Kanuri (Arabic)
knc_Latn,Central Kanuri (Latin)
kor_Hang,Korean
ktu_Latn,Kituba
lao_Laoo,Lao
lij_Latn,Ligurian
lim_Latn,Limburgish
lin_Latn,Lingala
lit_Latn,Lithuanian
lld_Latn,Ladin
lmo_Latn,Lombard
ltg_Latn,Latgalian
ltz_Latn,Luxembourgish
lua_Latn,Luba-Kasai
lug_Latn,Ganda
luo_Latn,Luo
lus_Latn,Mizo
lvs_Latn,Standard Latvian
mag_Deva,Magahi
mai_Deva,Maithili
mal_Mlym,Malayalam
mar_Deva,Marathi
mfe_Latn,Mauritian Creole
mhr_Cyrl,Meadow Mari
min_Arab,Minangkabau (Jawi)
min_Latn,Minangkabau (Latin)
mkd_Cyrl,Macedonian
mlt_Latn,Maltese
mni_Beng,Meitei (Bengali)
mni_Mtei,Meitei (Meitei)
mos_Latn,Mossi
mri_Latn,Maori
mya_Mymr,Burmese
myv_Cyrl,Erzya
nld_Latn,Dutch
nno_Latn,Norwegian Nynorsk
nob_Latn,Norwegian Bokmal
npi_Deva,Nepali
nqo_Nkoo,Nko
nso_Latn,Northern Sotho
nus_Latn,Nuer
nya_Latn,Nyanja
oci_Latn,Occitan
ory_Orya,Odia
pag_Latn,Pangasinan
pan_Guru,Eastern Panjabi
pap_Latn,Papiamento
pbt_Arab,Southern Pashto
pes_Arab,Western Persian
plt_Latn,Plateau Malagasy
pol_Latn,Polish
por_Latn,Portuguese
prs_Arab,Dari
quy_Latn,Ayacucho Quechua
ron_Latn,Romanian
run_Latn,Rundi
rus_Cyrl,Russian
sag_Latn,Sango
san_Deva,Sanskrit
sat_Olck,Santali
scn_Latn,Sicilian
shn_Mymr,Shan
sin_Sinh,Sinhala
slk_Latn,Slovak
slv_Latn,Slovenian
smo_Latn,Samoan
sna_Latn,Shona
snd_Arab,Sindhi (Arabic)
snd_Deva,Sindhi (Devanagari)
som_Latn,Somali
sot_Latn,Southern Sotho
spa_Latn,Spanish
srd_Latn,Sardinian
srp_Cyrl,Serbian
ssw_Latn,Swati
sun_Latn,Sundanese
swe_Latn,Swedish
swh_Latn,Swahili
szl_Latn,Silesian
tam_Taml,Tamil
taq_Latn,Tamasheq (Latin)
taq_Tfng,Tamasheq (Tifinagh)
tat_Cyrl,Tatar
tel_Telu,Telugu
tgk_Cyrl,Tajik
tha_Thai,Thai
tir_Ethi,Tigrinya
tpi_Latn,Tok Pisin
tsn_Latn,Tswana
tso_Latn,Tsonga
tuk_Latn,Turkmen
tum_Latn,Tumbuka
tur_Latn,Turkish
twi_Latn,Twi
tyv_Cyrl,Tuvan
uig_Arab,Uyghur
ukr_Cyrl,Ukrainian
umb_Latn,Umbundu
urd_Arab,Urdu
uzn_Latn,Northern Uzbek
uzs_Arab,Southern Uzbek
vec_Latn,Venetian
vie_Latn,Vietnamese
vmw_Latn,Emakhuwa
war_Latn,Waray
wol_Latn,Wolof
wuu_Hans,Wu Chinese
xho_Latn,Xhosa
ydd_Hebr,Eastern Yiddish
yor_Latn,Yoruba
yue_Hant,Yue Chinese (Cantonese)
zgh_Tfng,Standard Moroccan Tamazight
zsm_Latn,Standard Malay
zul_Latn,Zulu
